arm	start	model	travelled	newborn	gain
kin	4096	atomic-uni	4.475638	4.712837	0.237199
kin	4096	byte-bi	3.787727	5.491580	1.703853
kin	4096	byte-tri	4.143519	6.768908	2.625389
kin	4096	unit-uni	4.252234	4.715002	0.462768
kin	4096	move-bi	3.873458	5.506317	1.632859
kin	4096	core	4.499664	6.388602	1.888938
kin	65536	atomic-uni	4.460569	4.708843	0.248274
kin	65536	byte-bi	3.732115	5.475140	1.743025
kin	65536	byte-tri	4.074556	6.761376	2.686820
kin	65536	unit-uni	4.155232	4.715146	0.559914
kin	65536	move-bi	3.769669	5.499242	1.729573
kin	65536	core	4.421399	6.390140	1.968741
kin	131072	atomic-uni	4.492213	4.742048	0.249835
kin	131072	byte-bi	3.705485	5.458203	1.752718
kin	131072	byte-tri	4.018895	6.716902	2.698007
kin	131072	unit-uni	4.164501	4.744578	0.580077
kin	131072	move-bi	3.760983	5.482923	1.721940
kin	131072	core	4.341130	6.317680	1.976550
alien	4096	atomic-uni	4.551700	4.712837	0.161137
alien	4096	byte-bi	3.960367	5.491580	1.531213
alien	4096	byte-tri	4.530306	6.768908	2.238602
alien	4096	unit-uni	4.313750	4.715002	0.401252
alien	4096	move-bi	4.096266	5.506317	1.410051
alien	4096	core	4.608141	6.388602	1.780461
alien	65536	atomic-uni	4.590344	4.708843	0.118499
alien	65536	byte-bi	3.937413	5.475140	1.537727
alien	65536	byte-tri	4.478432	6.761376	2.282944
alien	65536	unit-uni	4.357440	4.715146	0.357706
alien	65536	move-bi	4.058749	5.499242	1.440493
alien	65536	core	4.590668	6.390140	1.799472
alien	131072	atomic-uni	4.623368	4.742048	0.118680
alien	131072	byte-bi	3.925686	5.458203	1.532517
alien	131072	byte-tri	4.482741	6.716902	2.234161
alien	131072	unit-uni	4.401272	4.744578	0.343306
alien	131072	move-bi	4.116275	5.482923	1.366648
alien	131072	core	4.541389	6.317680	1.776291
shuffle	4096	atomic-uni	4.396501	4.654668	0.258167
shuffle	4096	byte-bi	5.565820	6.096318	0.530498
shuffle	4096	byte-tri	6.974657	7.590370	0.615713
shuffle	4096	unit-uni	4.778943	4.654668	-0.124275
shuffle	4096	move-bi	5.865316	6.096312	0.230996
shuffle	4096	core	5.733329	6.763404	1.030075
shuffle	65536	atomic-uni	4.484713	4.734430	0.249717
shuffle	65536	byte-bi	5.737599	6.193590	0.455991
shuffle	65536	byte-tri	7.065061	7.648710	0.583649
shuffle	65536	unit-uni	4.875005	4.734430	-0.140575
shuffle	65536	move-bi	6.011481	6.193999	0.182518
shuffle	65536	core	5.835340	6.825470	0.990130
shuffle	131072	atomic-uni	4.453801	4.708710	0.254909
shuffle	131072	byte-bi	5.666584	6.167146	0.500562
shuffle	131072	byte-tri	6.989953	7.625402	0.635449
shuffle	131072	unit-uni	4.852676	4.708710	-0.143966
shuffle	131072	move-bi	5.904097	6.167062	0.262965
shuffle	131072	core	5.764413	6.776892	1.012479
