byte_offset	unit_position	arm	event	ledger_after	target_s	target_d	target_epoch	context_len	c1_s	c1_d	c1_epoch	c2_s	c2_d	c2_epoch	c3_s	c3_d	c3_epoch
25754	11915	relation	earn	33.997345244884464	97	97	1	1	32	32	1	0	0	0	0	0	0
25754	11915	oracle	earn	33.997345244884464	97	97	1	1	32	32	1	0	0	0	0	0	0
61463	22917	relation	earn	33.780822985746127	111	111	1	1	32	32	1	0	0	0	0	0	0
61463	22917	oracle	earn	33.780822985746127	111	111	1	1	32	32	1	0	0	0	0	0	0
69129	25170	relation	earn	33.698407253193764	103	103	1	1	32	32	1	0	0	0	0	0	0
69129	25170	oracle	earn	33.698407253193764	103	103	1	1	32	32	1	0	0	0	0	0	0
78362	27587	relation	earn	32.109254455966443	111	111	3	1	32	32	1	0	0	0	0	0	0
78362	27587	oracle	earn	32.109254455966443	111	111	3	1	32	32	1	0	0	0	0	0	0
83829	29039	relation	earn	33.69562789830448	108	108	1	1	32	32	1	0	0	0	0	0	0
83829	29039	oracle	earn	33.69562789830448	108	108	1	1	32	32	1	0	0	0	0	0	0
