world	genome	price	max_row_abs_h	near_sat	clamps	gates_pos	gates_neg
p5	0	0.176250	0.355189	0.000000000	0	167	110
p5	1	0.190843	0.321893	0.000000000	0	165	108
p5	2	0.189693	0.323742	0.000000000	0	161	105
p5	3	0.187776	0.327348	0.000000000	0	153	100
p5	4	0.190208	0.322907	0.000000000	0	165	107
p5	5	0.190331	0.322725	0.000000000	0	160	106
p5	6	0.191827	0.321876	0.000000000	0	50	65
p5	7	0.239984	0.280008	0.000000000	0	163	112
p6	0	0.285284	0.378909	0.000000000	0	251	266
p6	1	0.309057	0.342867	0.000000000	0	253	280
p6	2	0.310215	0.344687	0.000000000	0	250	282
p6	3	0.312861	0.348168	0.000000000	0	242	288
p6	4	0.309499	0.343169	0.000000000	0	253	281
p6	5	0.309746	0.344384	0.000000000	0	250	280
p6	6	0.309359	0.341388	0.000000000	0	22	71
p6	7	0.377201	0.290626	0.000000000	0	265	325
p7	0	0.343931	0.369530	0.000000000	0	279	2671
p7	1	0.371256	0.336822	0.000000000	0	273	2666
p7	2	0.378110	0.337109	0.000000000	0	267	2671
p7	3	0.396328	0.336696	0.000000000	0	256	2569
p7	4	0.372717	0.334644	0.000000000	0	273	2672
p7	5	0.376468	0.339331	0.000000000	0	270	2666
p7	6	0.366096	0.339761	0.000000000	0	74	150
p7	7	0.425621	0.289262	0.000000000	0	282	2613
p8	0	0.455758	0.365444	0.000000000	0	333	1386
p8	1	0.467398	0.334206	0.000000000	0	329	1248
p8	2	0.468134	0.337652	0.000000000	0	320	1248
p8	3	0.477450	0.343267	0.000000000	0	305	1248
p8	4	0.468330	0.337379	0.000000000	0	329	1248
p8	5	0.466951	0.340016	0.000000000	0	319	1248
p8	6	0.468533	0.330879	0.000000000	0	41	1029
p8	7	0.505371	0.281448	0.000000000	0	334	1248
