arm	target_s	target_d	target_epoch	context_len	c1_s	c1_d	c1_epoch	c2_s	c2_d	c2_epoch	c3_s	c3_d	c3_epoch	seen	positive	negative	ledger_bits	peak_bits	state	L	ever_earned
relation	32	32	1	0	0	0	0	0	0	0	0	0	0	20080	9586	10494	-3594.8325363682825	11.57277804585943	0	0	0
relation	32	32	1	1	32	32	1	0	0	0	0	0	0	15374	12712	2662	30.447440840804603	30.447440840804603	0	0	0
relation	32	32	1	2	32	32	1	32	32	1	0	0	0	19	0	19	-183.31937595526071	0	0	0	0
relation	32	32	1	3	32	32	1	32	32	1	32	32	1	107	57	50	-256.71796387855852	0	0	0	0
relation	97	97	1	0	0	0	0	0	0	0	0	0	0	15504	2367	13137	-1045.2261614464146	34.356215298786033	0	0	0
relation	97	97	1	1	32	32	1	0	0	0	0	0	0	12643	3888	8755	1220.6926055183201	1220.6926055183201	1	0.5	1
relation	32	32	1	1	97	97	1	0	0	0	0	0	0	577	499	78	-69.323368250780362	1.2449339579771905	0	0	0
relation	97	97	1	1	97	97	1	0	0	0	0	0	0	577	1	576	-3.899789054923497	0	0	0	0
relation	32	32	1	3	32	32	1	97	97	1	32	32	1	309	309	0	0.71924522653851375	0.71924522653851375	0	0	0
relation	97	97	1	3	32	32	1	97	97	1	32	32	1	309	242	67	-50.093735662061739	6.1951516763305445	0	0	0
relation	32	32	1	2	32	32	1	97	97	1	0	0	0	119	94	25	-297.33965274396161	1.4448531467992671	0	0	0
relation	97	97	1	2	32	32	1	97	97	1	0	0	0	119	87	32	0.64011398913475126	0.64109707945722216	0	0	0
relation	32	32	1	2	97	97	1	32	32	1	0	0	0	29	29	0	0.092357458401342185	0.092357458401342185	0	0	0
relation	97	97	1	2	97	97	1	32	32	1	0	0	0	29	21	8	2.5731743060335348	2.6529842219421438	0	0	0
relation	97	97	1	3	32	32	1	32	32	1	32	32	1	54	0	54	-6.4159051295524145	0	0	0	0
relation	111	111	1	0	0	0	0	0	0	0	0	0	0	760	118	642	-92.115342495062109	0.11869865192653466	0	0	0
relation	111	111	1	1	32	32	1	0	0	0	0	0	0	611	170	441	38.920123051529139	39.319991952416551	1	0.064649993761238395	1
relation	32	32	1	1	111	111	1	0	0	0	0	0	0	25	23	2	0.057389322952754132	0.057389322952754132	0	0	0
relation	97	97	1	1	111	111	1	0	0	0	0	0	0	25	4	21	-0.55829400318323408	0	0	0	0
relation	111	111	1	1	111	111	1	0	0	0	0	0	0	25	3	22	-1.6040409815802246	0	0	0	0
relation	32	32	1	2	111	111	1	32	32	1	0	0	0	34	34	0	0.085965231492745001	0.085965231492745001	0	0	0
relation	97	97	1	2	111	111	1	32	32	1	0	0	0	34	7	27	3.847507286669845	5.882967041218695	0	0	0
relation	111	111	1	2	111	111	1	32	32	1	0	0	0	34	6	28	-5.3349035882463465	0	0	0	0
relation	111	111	1	1	97	97	1	0	0	0	0	0	0	15	1	14	5.001363184201054	5.0313157501075993	0	0	0
relation	111	111	1	3	32	32	1	97	97	1	32	32	1	18	17	1	0.65371488033622083	0.65371488033622083	0	0	0
relation	111	111	1	2	32	32	1	97	97	1	0	0	0	8	6	2	0.021549940188956278	0.021549940188956278	0	0	0
relation	111	111	1	2	97	97	1	32	32	1	0	0	0	3	2	1	0.021751632128834953	0.021751632128834953	0	0	0
relation	32	32	1	2	111	111	1	111	111	1	0	0	0	11	11	0	0.025066046609187098	0.025066046609187098	0	0	0
relation	97	97	1	2	111	111	1	111	111	1	0	0	0	11	5	6	-0.034899312503926583	0	0	0	0
relation	111	111	1	2	111	111	1	111	111	1	0	0	0	11	0	11	-0.094251659868542434	0	0	0	0
relation	103	103	1	1	97	97	1	0	0	0	0	0	0	42	9	33	15.277515515155693	15.277515515155693	0	0	0
relation	103	103	1	0	0	0	0	0	0	0	0	0	0	1156	95	1061	-47.901075005712691	6.8089792695060787	0	0	0
relation	103	103	1	1	32	32	1	0	0	0	0	0	0	992	204	788	59.612922750533308	61.860877907535425	1	0.18268233685354479	1
relation	32	32	1	2	103	103	1	32	32	1	0	0	0	30	30	0	0.075559905332352947	0.075559905332352947	0	0	0
relation	97	97	1	2	103	103	1	32	32	1	0	0	0	30	4	26	8.2378886519934493	9.1613002766980767	0	0	0
relation	103	103	1	2	103	103	1	32	32	1	0	0	0	30	2	28	9.1895123609590996	9.1895123609590996	0	0	0
relation	103	103	1	3	32	32	1	97	97	1	32	32	1	25	13	12	-2.3598778952293613	0.97475697101826186	0	0	0
relation	32	32	1	1	103	103	1	0	0	0	0	0	0	23	6	17	-2.1674393902695201	2.2831178871495168	0	0	0
relation	97	97	1	1	103	103	1	0	0	0	0	0	0	23	3	20	-1.5401354615851117	0.0092356933323366475	0	0	0
relation	103	103	1	1	103	103	1	0	0	0	0	0	0	23	1	22	0.017203490883435237	0.032982606482885035	0	0	0
relation	103	103	1	2	32	32	1	97	97	1	0	0	0	12	9	3	0.29962293784705413	0.29962293784705413	0	0	0
relation	32	32	1	3	32	32	1	97	97	1	103	103	1	2	2	0	0.0072143898247957489	0.0072143898247957489	0	0	0
relation	97	97	1	3	32	32	1	97	97	1	103	103	1	2	2	0	1.8217766617558437	1.8217766617558437	0	0	0
relation	103	103	1	3	32	32	1	97	97	1	103	103	1	2	1	1	0.041718683894790227	0.041718683894790227	0	0	0
relation	32	32	1	2	32	32	1	103	103	1	0	0	0	2	2	0	0.15099945845136098	0.15099945845136098	0	0	0
relation	97	97	1	2	32	32	1	103	103	1	0	0	0	2	0	2	-0.54162466478379634	0	0	0	0
relation	103	103	1	2	32	32	1	103	103	1	0	0	0	2	1	1	0.00083899206480388729	0.00083899206480388729	0	0	0
relation	103	103	1	3	32	32	1	32	32	1	32	32	1	4	0	4	-0.094777841380581235	0	0	0	0
relation	103	103	1	2	97	97	1	32	32	1	0	0	0	1	1	0	0.058329693821148144	0.058329693821148144	0	0	0
relation	32	32	1	2	97	97	1	103	103	1	0	0	0	1	0	1	-0.011195916777753018	0	0	0	0
relation	97	97	1	2	97	97	1	103	103	1	0	0	0	1	1	0	0.094624776655961695	0.094624776655961695	0	0	0
relation	103	103	1	2	97	97	1	103	103	1	0	0	0	1	0	1	-0.010241527376233534	0	0	0	0
relation	32	32	1	3	97	97	1	103	103	1	32	32	1	1	1	0	0.0024570593020471652	0.0024570593020471652	0	0	0
