world	arm	horizon	G_N	final_state	final_ledger	final_L
iso	cold	1024	0.000000	0	0.000000	0.000000
iso	cold	4096	0.000000	0	0.000000	0.000000
iso	cold	16384	0.000000	0	0.000000	0.000000
iso	cold	65536	0.000000	0	0.000000	0.000000
iso	cache	1024	0.000000	1	101322.056022	0.367173
iso	cache	4096	2060.580666	1	101322.056022	0.367173
iso	cache	16384	10088.447866	1	101322.056022	0.367173
iso	cache	65536	32886.244546	1	101322.056022	0.367173
iso	align	1024	0.000000	0	-120490.867811	0.000000
iso	align	4096	0.000000	0	-120490.867811	0.000000
iso	align	16384	0.000000	0	-120490.867811	0.000000
iso	align	65536	0.000000	0	-120490.867811	0.000000
iso	both	1024	0.000000	1	123425.765600	0.398336
iso	both	4096	2060.580666	1	123425.765600	0.398336
iso	both	16384	10088.447866	1	123425.765600	0.398336
iso	both	65536	28328.304570	1	123425.765600	0.398336
iso	shuf	1024	0.000000	1	93873.854107	0.458696
iso	shuf	4096	1517.153460	1	93873.854107	0.458696
iso	shuf	16384	6388.847211	1	93873.854107	0.458696
iso	shuf	65536	19680.163764	1	93873.854107	0.458696
iso	oracle	1024	0.000000	1	256506.872030	0.010000
iso	oracle	4096	0.000000	1	256506.872030	0.010000
iso	oracle	16384	0.000000	1	256506.872030	0.010000
iso	oracle	65536	25484.772174	1	256506.872030	0.010000
ghost	cold	1024	0.000000	0	0.000000	0.000000
ghost	cold	4096	0.000000	0	0.000000	0.000000
ghost	cold	16384	0.000000	0	0.000000	0.000000
ghost	cold	65536	0.000000	0	0.000000	0.000000
ghost	cache	1024	0.000000	1	473797.663989	0.500000
ghost	cache	4096	4719.170313	1	473797.663989	0.500000
ghost	cache	16384	20085.768693	1	473797.663989	0.500000
ghost	cache	65536	71414.950508	1	473797.663989	0.500000
ghost	align	1024	0.000000	0	-214827.024861	0.000000
ghost	align	4096	0.000000	0	-214827.024861	0.000000
ghost	align	16384	0.000000	0	-214827.024861	0.000000
ghost	align	65536	0.000000	0	-214827.024861	0.000000
ghost	both	1024	0.000000	1	381618.189770	0.500000
ghost	both	4096	4719.170313	1	381618.189770	0.500000
ghost	both	16384	20085.768693	1	381618.189770	0.500000
ghost	both	65536	59171.995938	1	381618.189770	0.500000
ghost	shuf	1024	0.000000	1	186456.994173	0.500000
ghost	shuf	4096	3369.313848	1	186456.994173	0.500000
ghost	shuf	16384	13601.045501	1	186456.994173	0.500000
ghost	shuf	65536	35911.298809	1	186456.994173	0.500000
ghost	oracle	1024	0.000000	0	0.000000	0.000000
ghost	oracle	4096	0.000000	0	0.000000	0.000000
ghost	oracle	16384	0.000000	0	0.000000	0.000000
ghost	oracle	65536	0.000000	0	0.000000	0.000000
ff	cold	1024	0.000000	0	0.000000	0.000000
ff	cold	4096	0.000000	0	0.000000	0.000000
ff	cold	16384	0.000000	0	0.000000	0.000000
ff	cold	65536	0.000000	0	0.000000	0.000000
ff	cache	1024	0.000000	1	99900.748958	0.367179
ff	cache	4096	2022.334580	1	99900.748958	0.367179
ff	cache	16384	10120.629092	1	99900.748958	0.367179
ff	cache	65536	32755.352501	1	99900.748958	0.367179
ff	align	1024	0.000000	0	-126602.674293	0.000000
ff	align	4096	0.000000	0	-126602.674293	0.000000
ff	align	16384	0.000000	0	-126602.674293	0.000000
ff	align	65536	0.000000	0	-126602.674293	0.000000
ff	both	1024	0.000000	1	120186.763898	0.398331
ff	both	4096	2022.334580	1	120186.763898	0.398331
ff	both	16384	10120.629092	1	120186.763898	0.398331
ff	both	65536	28331.423999	1	120186.763898	0.398331
ff	shuf	1024	0.000000	1	94776.838663	0.458696
ff	shuf	4096	1521.568129	1	94776.838663	0.458696
ff	shuf	16384	6660.264502	1	94776.838663	0.458696
ff	shuf	65536	19967.206371	1	94776.838663	0.458696
ff	oracle	1024	0.000000	1	98577.203228	0.010000
ff	oracle	4096	0.000000	1	98577.203228	0.010000
ff	oracle	16384	0.000000	1	98577.203228	0.010000
ff	oracle	65536	6531.872106	1	98577.203228	0.010000
