world	regime	comparison	direction	t	truth	matchedL	cold_log2	candidate_log2	new_log2	other_log2	new_minus_other_bits	w_before	w_after	new_odds_before	new_odds_after	new_cap_after
208	switched	ceiling	help	8209	172	4	-5.430228857552494	-3.9877212860555993	-4.089353289429574	-4.948900486886709	0.8595471974571351	0.21409820932404783	1.6499152117795663	3.0517545976286806	4.493744102653864	10.0
208	switched	ceiling	harm	8214	148	2	-3.287499846094265	-5.425079525181051	-5.230099930017909	-3.901878157896545	-1.3282217721213638	1.598355361411455	-0.589172922719439	4.491673616197352	2.353959377035885	10.0
208	switched	witness	help	8250	2	2	-1.4830241498943249	-5.048111851608597	-2.3013475928503895	-3.4097671982596665	1.108419605409277	-2.80218658534603	-6.27970595626824	-0.1568298457472538	-3.7234338878258	5.0
208	switched	witness	harm	8287	241	2	-5.454826301923921	-3.5357444974158634	-5.23072626039164	-4.747850799770217	-0.4828754606214227	-4.687213997500227	-2.6216567555702874	-3.9591860742350895	-2.0418563635398916	5.0
208	moved_mid	ceiling	help	15238	242	3	-5.232681931490465	-1.2042850011186772	-1.7051230361765868	-4.202684263222038	2.497561227045451	0.08224539799078885	4.108072159675364	1.1378296272111907	5.165414293067891	10.0
208	moved_mid	ceiling	harm	11506	218	4	-5.397735097213858	-13.043102629605094	-11.924232058203144	-8.453403293459138	-3.470828764744006	1.1875543352407685	-6.494924270126742	7.400944410867301	-0.24446371835537917	5.0
208	moved_mid	witness	help	13951	23	2	-6.297766317251204	-13.683659906543252	-7.143568722626073	-9.283213913854599	2.139645191228526	-1.9013337943270834	-9.22781070254641	-0.3112837011944141	-7.698593649530186	5.0
208	moved_mid	witness	harm	11673	53	3	-5.031174677707216	-2.389440663390545	-3.8919003813446276	-3.005918536391695	-0.8859818449529326	-4.474466334752061	-1.6929052474743889	-1.7474014696333124	0.8903065894945785	5.0
209	switched	ceiling	help	8226	90	2	-5.943935122478511	-1.3080271084635322	-3.7534226080932336	-5.749211380696692	1.9957887726034582	-2.937910254167423	1.789807455290287	-2.509492605953625	2.1188672971959552	10.0
209	switched	ceiling	harm	8214	93	2	-3.312313668138281	-6.043671513549392	-5.496003745005488	-3.7032884526031156	-1.7927152924023728	2.3176075369509586	-0.48617554398986984	3.487604020979713	0.7561869788466731	10.0
209	switched	witness	help	8215	142	2	-2.2175897285538717	-5.532074123697756	-3.4184385440752827	-4.74871638434932	1.3302778402740376	-0.48617554398986984	-3.7854669533840704	0.7561869788466731	-2.558323167646234	5.0
209	switched	witness	harm	8226	90	2	-5.943935122478511	-1.3080271084635322	-3.7534226080932336	-2.1537895951231585	-1.599633012970075	-2.937910254167423	1.789807455290287	-2.509492605953625	2.1188672971959552	10.0
209	moved_mid	ceiling	help	13187	64	2	-7.7211958913408365	-2.133840663260095	-3.6588215207953096	-6.905459408763363	3.2466378879680535	-0.490612602123929	5.112074269773185	-0.9981111261178475	4.588692284306311	10.0
209	moved_mid	ceiling	harm	15594	102	2	-4.510761192626631	-14.767703846707805	-12.174833569905326	-7.648662627872184	-4.526170942033142	6.275428197363426	-4.177621587885357	7.918399723630596	-2.338569296733538	5.0
209	moved_mid	witness	help	12020	246	1	-7.799178101215303	-15.70712921925039	-12.1311755382375	-15.17754888795387	3.0463733497163705	7.214528127870014	-0.9188769941610114	4.384877541228494	-3.523097505642381	10.0
209	moved_mid	witness	harm	14239	30	7	-3.702035560073064	-0.18734295040227972	-3.1060269945796977	-1.0358513297778453	-2.0701756648018526	-0.9274883689828467	2.6161882522186515	-4.277159919800343	-0.7625023008622642	10.0
210	switched	ceiling	help	8269	168	1	-5.5282583906056235	-1.6477138876395183	-2.4289294335507616	-4.909753065929808	2.480823632379046	0.6778265513976789	4.537188974632607	0.29778537111385056	4.1779093519444555	10.0
210	switched	ceiling	harm	8539	203	2	-1.483819552647135	-5.004907328104029	-4.316814554906778	-2.0129237457751703	-2.303890809131608	0.84860790957542	-2.6989988630557056	4.013321166254805	0.4921804121444838	5.0
210	switched	witness	help	8238	42	3	-1.7112236220896828	-5.840689509560286	-3.409477321007916	-5.182565437329665	1.7730881163217491	0.027943871788625407	-4.1023952616753725	1.4626196278587804	-2.66687174007636	5.0
210	switched	witness	harm	8268	168	1	-4.539391403283526	-2.35760388315109	-3.727651149657063	-2.7091266351239387	-1.0185245145331243	-1.5524758386939426	0.6778265513976789	-1.8808579669770171	0.29778537111385056	10.0
210	moved_mid	ceiling	help	11988	44	1	-5.654049679309548	-0.727628361452576	-2.3106045394908357	-5.114290898594953	2.803686359104117	-2.3631864302564165	2.637084463546069	-1.1466514900266924	3.7591380952206226	10.0
